# form	pos	lemma	sense	freq
ཀ				50593
ཀ་ཀ				26
ཀ་ཀ་ནི				5
ཀ་ཀཱ				12
ཀ་ཀུ་བྷ་ཡ				1
ཀ་ཀོ་ལ				50
ཀ་ཁ				98
ཀ་གཞུ				13
ཀ་གྲངས				1
ཀ་ཅ				70
ཀ་ཅི				7
ཀ་ཆ				98
ཀ་ཆུ				4
ཀ་ཊུ				1
ཀ་ཏ་མ				3
ཀ་ཏ་ར				3
ཀ་ཏི				86
ཀ་ཏོ་ར				12
ཀ་ཐོ				4
ཀ་ཐོག				2
ཀ་ཐཾ				2
ཀ་དག				2137
ཀ་དཔེ				12
ཀ་དམ་པ				9
ཀ་ན་ཡ				6
ཀ་ནི་ཀ				8
ཀ་པ				226
ཀ་པཱ་ལ				918
ཀ་པཱ་ལཱི				1
ཀ་པི				13
ཀ་པེད				6
ཀ་ཕུར				1
ཀ་ཕྲེང				8
ཀ་བ				3228
ཀ་བཀོལ་མ				4
ཀ་བཞི་གདུང་བརྒྱད				2
ཀ་བཤད				12
ཀ་བསྟོད				1
ཀ་བཱི				6
ཀ་བེད				1
ཀ་མ་རུ				37
ཀ་མ་ལ				41
ཀ་མ་ལ་ཤཱི་ལ				94
ཀ་མགོ				4
ཀ་མད				9
ཀ་མཱི				1
ཀ་མེད				1
ཀ་ཚ				2
ཀ་ཡེ				9
ཀ་ར				435
ཀ་ར་ཎ				26
ཀ་ར་བཱི་ར				1
ཀ་རཉྫ				1
ཀ་རན་ཛ				4
ཀ་རཱི				3
ཀ་རི				19
ཀ་རུ				137
ཀ་རྒྱན				78
ཀ་རྟེན				13
ཀ་རྡོ				1
ཀ་རྩོམ				2
ཀ་ལ				106
ཀ་ལ་པིང་ཀ				18
ཀ་ལ་ཤ				1
ཀ་ལཱ་པ				106
ཀ་ལི				135
ཀ་ལིང་ཀ				40
ཀ་ལོག				1
ཀ་ལྱཱ				5
ཀ་ཤ				21
ཀ་སྒྲོག				1
ཀ་སྒྲོམ				1
ཀ་སྡེ				24
ཀག				134
ཀང་ཀ				19
ཀཉྩ				9
ཀཉྩི་ཀ				8
ཀཎྜ་ཀ་རི				11
ཀན				1242
ཀབ་ཀོབ				1
ཀམ་པ				34
ཀམ་ཚང				2
ཀཙྪ				2
ཀར				819
ཀར་ཀར				3
ཀར་བརྒྱུད				10
ཀར་ལུགས				28
ཀརྐ་ཊ				102
ཀརྐོ་ཊ				49
ཀརྞ				36
ཀརྞྞི				1
ཀརྞྞི་ཀཱ				1
ཀརྟི་ཀ				12
